title,popularity,genres,rating,language
Hacksaw Ridge,93,"Drama, History, War",8.195,en
Talk to Me,93,Horror,7.2,en
Star Wars: The Rise of Skywalker,92,"Adventure, Action, Science Fiction",6.3,en
2073,92,"Thriller, Documentary, Science Fiction",7,en
The Silent Hour,92,"Crime, Thriller, Action",6.5,en
That Christmas,92,"Animation, Comedy, Family, Fantasy, Adventure",7.1,en
Fast & Furious Presents: Hobbs & Shaw,91,"Action, Adventure, Comedy",6.85,en
Wake Up,91,"Horror, Thriller, Action",7.1,en
In the Lost Lands,91,"Fantasy, Adventure, Action",8,en
Room in Rome,90,"Drama, Romance",6.416,es
Pirates of the Caribbean: Dead Men Tell No Tales,90,"Adventure, Action, Fantasy",6.652,en
House of Darkness,90,"Horror, Thriller, Comedy, Mystery",5.1,en
Guy Ritchie's The Covenant,90,"War, Action, Thriller",7.8,en
The Twilight Saga: Breaking Dawn - Part 1,89,"Adventure, Fantasy, Romance",6.196,en
A Haunted House 2,89,"Comedy, Horror",6.2,en
Ted 2,89,"Comedy, Fantasy",6.3,en
Venom: Let There Be Carnage,89,"Science Fiction, Action, Adventure",6.779,en
Turning Red,89,"Animation, Family, Comedy, Fantasy",7.349,en
Mickey and the Very Many Christmases,89,"Animation, Adventure, Comedy, Family",6.3,en
Wolfs,89,"Comedy, Action, Crime",6.549,en
The Hobbit: An Unexpected Journey,88,"Adventure, Fantasy, Action",7.357,en
Immaculate,88,"Horror, Mystery, Thriller",6.24,en
Megalopolis,88,"Science Fiction, Drama",5.276,en
Edge of Tomorrow,87,"Action, Science Fiction",7.627,en
The Conjuring 2,87,Horror,7.289,en
Cars 3,87,"Family, Animation, Adventure, Comedy",6.8,en
Youthful Older Sister,87,Romance,8.2,ko
How to Train Your Dragon: The Hidden World,87,"Animation, Family, Adventure",7.7,en
Sing 2,87,"Animation, Family, Music, Comedy",7.9,en
20th Century Girl,87,"Romance, Drama",8.2,ko
Five Nights at Freddy's,87,"Horror, Mystery, Thriller",7.489,en
Tarot,87,Horror,6.5,en
Buffalo Kids,87,"Animation, Adventure, Comedy, Family",6.8,es
Megamind vs. the Doom Syndicate,87,"Animation, Comedy, Science Fiction",5.2,en
Blink Twice,87,"Mystery, Thriller",6.676,en
Despicable Me,86,"Animation, Family, Comedy",7.2,en
Furious 7,86,"Action, Thriller, Crime",7.229,en
Poor Things,86,"Science Fiction, Romance, Comedy",7.703,en
PAW Patrol: The Mighty Movie,86,"Animation, Family, Action, Science Fiction, Comedy, Drama, Adventure",7,en
1978,86,"Horror, Thriller, Drama",6.214,es
Brothers,86,"Action, Comedy, Crime",6,en
Cars 2,85,"Animation, Family, Adventure, Comedy",6.136,en
The Amazing Spider-Man 2,85,"Action, Adventure, Science Fiction",6.5,en
Terminator Genisys,85,"Science Fiction, Action, Thriller, Adventure",5.9,en
Hereditary,85,"Horror, Mystery, Thriller",7.292,en
The Haunting of the Immaculate Nurse,85,Horror,5.3,es
Damsel,85,"Fantasy, Action, Adventure",7.03,en
Saving Bikini Bottom: The Sandy Cheeks Movie,85,"Animation, Comedy, Adventure, Family",6,en
Thor: Ragnarok,84,"Action, Adventure, Science Fiction",7.6,en
The Conjuring: The Devil Made Me Do It,84,"Horror, Mystery, Thriller",7.413,en
Through My Window,84,"Romance, Drama, Comedy",7.4,es
Uncharted,84,"Action, Adventure",6.918,en
The Family Plan,84,"Action, Comedy",7.3,en
The Six Triple Eight,84,"Drama, War, History",7.527,en
The Ministry of Ungentlemanly Warfare,84,"Action, Comedy, War",7.1,en
Toy Story 3,83,"Animation, Family, Comedy",7.8,en
Captain America: The First Avenger,83,"Action, Adventure, Science Fiction",7,en
Transformers: Age of Extinction,83,"Science Fiction, Action, Adventure",5.9,en
Joker,83,"Crime, Thriller, Drama",8.1,en
Spider-Man: Far From Home,83,"Action, Adventure, Science Fiction",7.4,en
Death Whisperer,83,"Horror, Thriller",7.6,th
The Boy and the Heron,83,"Animation, Adventure, Fantasy, Family, Drama",7.448,ja
Take Cover,83,"Action, Thriller",6.6,en
Land of Bad,83,"Action, War, Thriller",7.3,en
Harold and the Purple Crayon,83,"Family, Adventure, Fantasy, Comedy",6.829,en
The Tearsmith,83,"Romance, Drama",6.523,it
Juror #2,83,"Crime, Drama",6.816,en
Algo Azul,83,"Romance, Comedy",7.4,es
Pacific Rim,82,"Action, Science Fiction, Adventure",6.908,en
Paddington,82,"Comedy, Adventure, Family",7.1,en
Everything Everywhere All at Once,82,"Action, Adventure, Science Fiction",7.759,en
Evil Dead Rise,82,"Horror, Thriller",6.9,en
Ghosted,82,"Action, Comedy, Romance",6.938,en
The Girl with the Needle,82,"Drama, History",7.7,da
Squad 36,82,"Action, Crime, Drama, Thriller",6.8,fr
The Twilight Saga: Eclipse,81,"Adventure, Fantasy, Drama, Romance",6.204,en
Ice Age: Continental Drift,81,"Animation, Comedy, Adventure, Family",6.38,en
Teenage Mutant Ninja Turtles,81,"Science Fiction, Action, Adventure, Comedy",5.9,en
How to Train Your Dragon 2,81,"Fantasy, Action, Adventure, Animation, Comedy, Family",7.7,en
Star Wars: The Force Awakens,81,"Adventure, Action, Science Fiction",7.264,en
After,81,"Romance, Drama",7.122,en
Operation Black Ops,81,"Action, Thriller",5.5,en
The Idea of You,81,"Romance, Drama, Comedy",7.399,en
Knox Goes Away,81,"Action, Crime, Thriller",7,en
Big World,81,"Drama, Family",7.5,zh
Demon Slayer: Kimetsu no Yaiba - Infinity Castle,81,"Animation, Action, Fantasy, Thriller",0,ja
Creation of the Gods II: Demon Force,81,"Action, Fantasy, War",6.1,zh
Sosyal Climbers,81,"Romance, Comedy",4.8,tl
The Wrong Track,81,"Comedy, Drama",6.8,no
Alice in Wonderland,80,"Family, Fantasy, Adventure",6.6,en
The Lorax,80,"Animation, Family",6.5,en
Purpose of Reunion,80,"Romance, Drama",5.3,ko
Batman v Superman: Dawn of Justice,80,"Action, Adventure, Fantasy",6,en
Thor: Love and Thunder,80,"Fantasy, Action, Comedy",6.422,en
The Nun II,80,Horror,6.714,en
Young Hearts,80,"Drama, Romance",8.5,nl
The Room Next Door,80,Drama,6.8,es
Counterattack,80,"Action, Adventure, Thriller",8.369,es
Taken 3,79,"Thriller, Action",6.3,en
Guardians of the Galaxy Vol. 2,79,"Science Fiction, Adventure, Action",7.6,en
후배부부와 교환섹스 2,79,Drama,0,ko
Smile,79,"Horror, Mystery",6.7,en
Alienoid,79,"Science Fiction, Action, Fantasy, Adventure",6.824,ko
Atlas,79,"Science Fiction, Action",6.8,en
Amityville: Where the Echo Lives,79,"Horror, Mystery",5.2,en
Rebel Ridge,79,"Crime, Action, Thriller, Drama",6.987,en
Sicario,78,"Action, Crime, Thriller",7.412,en
Bad Boys for Life,78,"Thriller, Action, Crime",7.135,en
Indiana Jones and the Dial of Destiny,78,"Adventure, Action",6.56,en
Outside,78,"Horror, Thriller",6.1,tl
Trap,78,"Crime, Thriller, Horror",6.394,en
Remnant,78,"Science Fiction, Horror, Thriller",4.9,en
The Wages of Fear,78,Action,6.2,fr
The Aunts,78,Horror,6.5,es
El hilo rojo,78,"Drama, Romance",8.2,es
The Amazing Spider-Man,77,"Action, Adventure, Science Fiction",6.7,en
San Andreas,77,"Action, Drama, Thriller",6.245,en
Jack Reacher: Never Go Back,77,"Action, Thriller",5.994,en
A Quiet Place,77,"Horror, Drama, Science Fiction",7.399,en
Cruella,77,"Comedy, Crime, Family, Adventure",8,en
The Canterville Ghost,77,"Animation, Comedy, Family, Fantasy",6.7,en
Exorcism in Utero,77,Horror,5.7,en
Justice League: Crisis on Infinite Earths Part Three,77,"Animation, Science Fiction, Action",7.3,en
Thor,76,"Adventure, Fantasy, Action",6.8,en
